date,open,high,low,close,volume
2024-12-16,606.0000,607.7795,605.2100,606.7900,41912384
2024-12-17,604.1900,605.1700,602.8850,604.2900,52938951
2024-12-18,603.9800,606.4050,585.8900,586.2800,103804119
2024-12-19,591.3600,593.0000,585.8500,586.1000,84416222
2024-12-20,581.7700,595.7500,580.9100,591.1500,125000829
2024-12-23,590.8900,595.3000,587.6610,594.6900,54229252
2024-12-24,596.0600,601.3400,595.4700,601.3000,31786391
2024-12-26,599.5000,602.4800,598.0825,601.3400,41005317
2024-12-27,597.5400,597.7761,590.7647,595.0100,64126858
2024-12-30,587.8900,591.7400,584.4100,588.2200,55987123
2024-12-31,589.9050,590.6399,584.4200,586.0800,56676490
2025-01-02,589.3900,591.1300,580.5000,584.6400,49863281
2025-01-03,587.5300,592.6000,586.4300,591.9500,37596737
2025-01-06,596.2700,599.7000,593.6000,595.3600,46234325
2025-01-07,597.4200,597.7500,586.7800,588.6300,59144039
2025-01-08,588.7000,590.5799,585.1950,589.4900,46467822
2025-01-10,585.8800,585.9500,578.5500,580.4900,72266996
2025-01-13,575.7700,581.7500,575.3500,581.3900,47467366
2025-01-14,584.3600,585.0000,578.3500,582.1900,48261029
2025-01-15,590.3250,593.9400,589.1950,592.7800,56053984
2025-01-16,594.1750,594.3500,590.9300,591.6400,43106931
2025-01-17,596.9600,599.3600,595.6100,597.5800,54136167
2025-01-21,600.6700,603.0600,598.6700,603.0500,40466483
2025-01-22,605.9200,607.8200,605.3600,606.4400,46983541
2025-01-23,605.8000,609.7500,605.5200,609.7500,39611353
2025-01-24,609.8100,610.7800,606.8000,607.9700,34354188
2025-01-27,594.8100,599.6900,594.6400,599.3700,68808366
2025-01-28,600.6200,605.3700,597.2500,604.5200,43219969
2025-01-29,601.8100,601.8100,601.8100,601.8100,52608
2025-01-30,603.9600,606.6000,600.7150,605.0400,38894942
2025-01-31,607.5000,609.9600,601.0500,601.8200,66168550
2025-02-03,592.6700,600.2900,590.4900,597.7700,65560583
2025-02-04,597.8300,602.3000,597.2800,601.7800,33235104
2025-02-05,600.6400,604.3700,598.5800,604.2200,30564894
2025-02-06,605.9900,606.4525,602.6300,606.3200,35672999
2025-02-07,606.8900,608.1300,600.0500,600.7700,50375800
2025-02-10,604.0300,605.4999,602.7400,604.8500,25980716
2025-02-11,602.5500,605.8600,602.4300,605.3100,29874964
2025-02-12,599.2000,604.5500,598.5100,603.3600,44975771
2025-02-13,604.4800,609.9400,603.2000,609.7300,40050989
2025-02-14,609.9400,610.9900,609.0700,609.7000,26606823
2025-02-18,610.8800,611.4900,608.3800,611.4900,26553596
2025-02-19,610.0800,613.2300,609.5600,612.9300,29835532
2025-02-20,611.5400,611.6840,607.0200,610.3800,36204555
2025-02-21,610.1600,610.3000,599.4700,599.9400,76034859
2025-02-24,602.0200,603.0300,596.4900,597.2100,50107369
2025-02-25,597.1500,597.8900,589.5600,594.2400,56225678
2025-02-26,595.9300,599.5800,591.8556,594.5400,43274377
2025-02-27,596.8500,598.0200,584.6500,585.0500,73719886
2025-02-28,585.5600,594.7200,582.4400,594.1800,88474500
2025-03-03,596.1800,597.3400,579.9000,583.7700,73416783
2025-03-04,579.7100,585.3900,572.2500,576.8600,108352679
2025-03-05,576.6900,584.8800,573.0795,583.0600,70217709
2025-03-06,575.4800,580.1736,570.1200,572.7100,80328058
2025-03-07,570.9000,577.3900,565.6300,575.9200,80387300
2025-03-10,567.5900,569.5400,555.5900,560.5800,97098010
2025-03-11,559.4000,564.0200,552.0200,555.9200,87506331
2025-03-12,562.1700,563.1100,553.6900,558.8700,68141184
2025-03-13,558.4900,559.1050,549.6800,551.4200,73664212
2025-03-14,556.1100,563.8300,551.4917,562.8100,62010689
2025-03-17,562.7900,569.7100,562.3500,567.1500,48078729
2025-03-18,564.8000,565.0200,559.0600,561.0200,63962741
2025-03-19,562.8300,570.9500,561.6300,567.1300,64649004
2025-03-20,563.3300,570.5700,562.6012,565.4900,60546819
2025-03-21,559.2800,564.8900,558.0300,563.9800,82719603
2025-03-24,570.8000,575.1500,570.2000,574.0800,58482511
2025-03-25,575.3000,576.4100,573.6900,575.4600,37621708
2025-03-26,575.1900,576.3300,567.1900,568.5900,51121479
2025-03-27,567.1800,570.9000,564.9400,567.0800,41925848
2025-03-28,565.5300,566.2675,555.0700,555.6600,71628953
2025-03-31,549.8300,560.7112,546.8700,559.3900,95128213
2025-04-01,557.4500,562.9400,553.6800,560.9700,54576641
2025-04-02,555.0500,567.4200,554.8100,564.5200,76007044
2025-04-03,545.1100,547.9700,536.7000,536.7000,125426398
2025-04-04,523.6700,525.8700,505.0600,505.2800,217902831
2025-04-07,489.1900,523.1700,481.8000,504.3800,256046855
2025-04-08,521.8600,524.9800,489.1600,496.4800,165553031
2025-04-09,493.4400,548.6200,493.0500,548.6200,241783327
2025-04-10,532.1700,533.4950,509.3200,524.5800,162294725
2025-04-11,523.0100,536.4300,520.0700,533.9400,96865434
2025-04-14,544.0500,544.2800,533.8600,539.1200,68033993
2025-04-15,539.6750,543.2300,536.8100,537.6100,56892874
2025-04-16,531.6800,537.8854,520.2900,525.6600,83409814
2025-04-17,527.6400,531.1650,523.9100,526.4100,79440083
2025-04-21,521.1600,521.7000,508.4600,513.8800,69359529
2025-04-22,520.1400,529.3050,519.1925,527.2500,75937717
2025-04-23,540.4300,545.4300,533.8800,535.4200,90565658
2025-04-24,536.7150,547.4300,535.4504,546.6900,64149872
2025-04-25,546.6500,551.0500,543.6900,550.6400,60939590
2025-04-28,551.3900,553.5500,545.0200,550.8500,47602355
2025-04-29,548.9100,555.4500,548.5500,554.3200,47775121
2025-04-30,547.5700,556.5200,541.5200,554.5400,93094138
2025-05-01,560.3700,564.0699,557.8600,558.4700,63171646
2025-05-02,564.7300,568.3800,562.3800,566.7600,60717270
2025-05-05,562.5700,566.6500,561.7000,563.5100,38608147
2025-05-06,557.9300,563.3476,556.9600,558.8000,48264708
2025-05-07,560.1500,563.8200,556.0400,561.1500,55733229
2025-05-08,565.2400,570.3100,561.7000,565.0600,65130787
2025-05-09,566.4800,567.5000,562.7637,564.3400,37603427
2025-05-12,581.4700,583.0000,577.0400,582.9900,78993570
2025-05-13,583.4100,589.0800,582.8400,586.8400,67947225
2025-05-14,587.8100,588.9800,585.5350,587.5900,66283531
2025-05-15,585.5600,590.9700,585.0969,590.4600,71268145
2025-05-16,591.2500,594.5000,589.2800,594.2000,76052101
2025-05-19,588.1000,595.5400,588.1000,594.8500,68168509
2025-05-20,593.0900,594.0500,589.6000,592.8500,60614492
2025-05-21,588.4400,592.5800,581.8200,582.8600,95197657
2025-05-22,582.6600,586.6200,581.4050,583.0900,70860417
2025-05-23,575.9800,581.8101,575.6000,579.1100,76029046
2025-05-27,586.0700,591.3100,578.4300,591.1500,72588475
2025-05-28,591.5600,592.7688,586.9850,587.7300,68445512
2025-05-29,593.0600,593.2000,586.0700,590.0500,70073758
2025-05-30,588.9300,591.1299,583.2350,589.3900,90601242
2025-06-02,587.7600,592.7900,585.0600,592.7100,61630502
2025-06-03,592.3400,597.0800,591.8500,596.0900,63606204
2025-06-04,596.9600,597.9500,595.4900,595.9300,57314199
2025-06-05,597.6300,599.0000,591.0500,593.0500,92436397
2025-06-06,598.6600,600.8300,596.8600,599.1400,66588743
2025-06-09,599.7200,601.2500,598.4900,599.6800,53016418
2025-06-10,600.2200,603.4700,599.0900,603.0800,66246973
2025-06-11,604.1900,605.0600,599.2700,601.3600,73658225
2025-06-12,600.0100,603.7500,599.5200,603.7500,64129003
2025-06-13,598.5000,601.8500,595.4800,597.0000,89505996
2025-06-16,600.4000,604.4500,600.2200,602.6800,79984125
2025-06-17,600.2100,601.7500,596.7600,597.5300,82209365
2025-06-18,598.4400,601.2200,596.4700,597.4400,76605029
2025-06-20,598.3800,599.4600,592.8600,594.2800,94051374
2025-06-23,595.0400,600.5400,591.8900,600.1500,87426039
2025-06-24,604.3300,607.8499,603.4100,606.7800,67735293
2025-06-25,607.9100,608.6100,605.5400,607.1200,62114767
2025-06-26,608.9900,612.3100,608.3700,611.8700,78548361
2025-06-27,612.8800,616.3900,610.8300,614.9100,86258398
2025-06-30,617.3800,619.2200,615.0400,617.8500,92502541
